TrialNum	Cue	Response	Response_Latency	Pic	Pic_Latency	Feedback	Feedback_Latency
1	11	10	1050	200	2270	101	3186
2	12	20	734	200	2034	101	2968
3	13	10	600	201	1534	104	2368
4	12	20	736	200	2068	101	3120
5	14	10	952	201	2168	104	3002
6	11	20	536	200	1702	102	2636
7	11	10	624	200	1868	101	2820
8	12	20	584	200	1918	101	2752
9	11	20	696	200	2102	102	3102
10	14	10	720	201	1718	104	2702
11	13	20	838	201	1918	103	2920
12	14	10	558	201	1834	103	2668
13	14	10	566	201	1868	104	2852
14	13	10	596	201	2102	104	3070
15	14	10	590	201	2136	103	3020
16	13	10	572	201	1968	104	2784
17	12	10	748	200	2236	102	3270
18	14	20	322	201	1234	104	2302
19	13	10	420	201	1550	104	2602
20	14	10	564	201	2068	103	3086
21	11	20	352	200	1602	102	2586
22	14	10	394	201	1752	104	2618
23	12	20	358	200	1818	102	2852
24	11	10	384	200	1718	101	2586
25	11	10	518	200	1986	101	2820
26	11	10	634	200	1834	102	2652
27	13	10	704	201	2034	104	3018
28	14	20	682	201	1534	104	2386
29	13	10	482	201	1900	104	2734
30	12	10	346	200	1702	102	2636
31	13	10	302	201	1334	104	2302
32	14	20	620	201	2134	103	2952
33	13	10	582	201	2136	104	3020
34	14	20	574	201	1518	103	2584
35	13	10	756	201	2284	104	3202
36	13	20	650	201	1568	103	2520
37	13	20	530	201	1468	103	2318
38	13	20	486	201	1550	103	2584
39	13	20	432	201	1950	103	3002
40	13	20	398	201	1368	103	2236
41	11	10	690	200	2102	101	2968
42	13	20	628	201	2068	103	2918
43	11	10	650	200	1668	101	2634
44	14	20	542	201	1518	103	2486
45	12	10	682	200	1868	101	2870
46	13	20	460	201	1934	103	2886
47	11	20	434	200	1568	102	2584
48	11	10	430	200	1318	101	2168
49	13	20	506	201	1416	103	2484
50	14	20	596	201	1668	104	2502
51	13	10	490	201	1768	104	2802
52	13	20	330	201	1218	103	2102
53	12	10	940	200	2486	102	3336
54	12	20	340	200	1668	101	2502
55	12	20	376	200	1418	102	2336
56	12	20	340	200	1452	101	2270
57	14	20	508	201	1652	104	2636
58	11	20	586	200	1718	102	2686
59	14	20	618	201	2184	104	3118
60	11	10	568	200	1952	101	2968
61	12	10	1006	200	2168	102	3036
62	14	20	628	201	2020	104	2904
63	13	20	700	201	1986	103	3002
64	14	20	616	201	1834	103	2668
65	14	20	594	201	2118	103	2986
66	11	10	578	200	1934	101	2902
67	13	20	492	201	1334	104	2302
68	11	20	664	200	1702	102	2636
69	12	10	602	200	1952	102	2836
70	11	10	636	200	1868	101	2786
71	11	10	570	200	1752	101	2586
72	14	20	586	201	1952	104	2918
73	13	20	562	201	1434	103	2284
74	11	10	568	200	2052	102	3020
75	14	10	900	201	1852	103	2736
76	14	10	568	201	1634	103	2684
77	13	20	558	201	1902	103	2868
78	13	20	586	201	1502	103	2468
79	11	10	500	200	1468	101	2284
80	13	20	514	201	1534	104	2452
81	12	20	690	200	2186	102	3002
82	11	10	428	200	1868	101	2902
83	14	10	752	201	2320	103	3354
84	14	10	824	201	1884	103	2702
85	13	20	646	201	1852	103	2670
86	14	10	606	201	2134	103	3018
87	13	20	558	201	2018	103	2934
88	12	20	688	200	2034	101	2918
89	11	10	472	200	1952	102	2986
90	12	20	694	200	2118	101	3052
91	11	10	530	200	1818	101	2686
92	12	10	764	200	1836	102	2652
93	13	20	532	201	1768	103	2820
94	13	10	840	201	2086	104	3136
95	14	10	1406	201	2868	104	3902
96	12	20	658	200	1784	101	2618
97	14	20	454	201	1436	104	2336
98	14	20	660	201	1684	104	2552
99	14	10	1584	201	2436	103	3270
100	11	10	580	200	1468	101	2486
101	14	10	564	201	1418	103	2386
102	11	10	494	200	1734	101	2668
103	11	10	476	200	1918	101	2852
104	12	10	592	200	1802	102	2836
105	12	20	492	200	1784	102	2818
106	13	20	524	201	1568	103	2552
107	12	20	540	200	1684	101	2684
108	11	10	512	200	1568	101	2384
109	12	20	696	200	2252	102	3170
110	13	20	698	201	1618	103	2652
111	14	10	678	201	1750	103	2768
112	13	20	340	201	1834	104	2702
113	12	10	690	200	2018	102	2968
114	11	10	1690	200	2984	101	3868
115	13	20	766	201	2320	103	3236
116	14	20	742	201	2184	103	3018
117	13	20	520	201	1700	104	2718
118	12	20	608	200	1736	102	2602
119	12	20	678	200	1768	101	2820
120	12	20	882	200	1818	101	2852
121	11	10	518	200	1516	101	2584
122	12	20	720	200	2084	101	3052
123	13	20	554	201	1800	103	2618
124	12	20	574	200	1434	102	2368
125	12	20	402	200	1768	101	2818
126	12	20	404	200	1936	101	2752
127	14	20	644	201	1884	104	2852
128	11	10	680	200	1636	101	2452
129	11	10	586	200	1600	101	2518
130	14	10	660	201	2018	104	2984
131	12	20	786	200	2118	101	3020
132	12	20	466	200	1586	101	2470
133	13	20	546	201	1968	103	2918
134	11	20	558	200	1868	102	2752
135	12	20	614	200	1468	102	2402
136	11	10	402	200	1768	101	2786
137	14	20	950	201	1818	104	2636
138	13	20	676	201	2236	103	3054
139	12	20	650	200	1968	101	2986
140	14	20	736	201	2018	104	2886
141	11	10	766	200	1702	101	2636
142	11	10	874	200	2002	101	2868
143	11	10	512	200	1686	101	2636
144	14	10	616	201	2152	103	2970
145	11	10	586	200	1684	101	2752
146	14	20	1818	201	3318	104	4302
147	14	20	838	201	2318	104	3152
148	12	20	576	200	2034	102	3068
149	11	10	584	200	2102	101	3070
150	13	20	536	201	1534	103	2368
151	14	10	1076	201	2186	103	3070
152	12	20	870	200	2152	101	3186
153	11	10	616	200	1686	101	2686
154	12	20	502	200	1800	101	2852
155	13	20	674	201	2018	103	2886
156	12	20	928	200	2218	101	3102
157	12	20	624	200	1768	102	2836
158	14	20	804	201	1784	104	2618
159	12	20	640	200	2184	102	3002
160	11	10	554	200	1518	102	2452
